CMSG_PLAYER_VEHICLE_ENTER	0x04A8
CMSG_PLAY_DANCE	0x044B
CMSG_PROFILEDATA_REQUEST	0x04C9
CMSG_PUSHQUESTTOPARTY	0x019D
CMSG_PVP_QUEUE_STATS_REQUEST	0x04DB
CMSG_QUERY_INSPECT_ACHIEVEMENTS	0x046B
CMSG_QUERY_OBJECT_POSITION	0x0004
CMSG_QUERY_OBJECT_ROTATION	0x0006
CMSG_QUERY_QUESTS_COMPLETED	0x0500
CMSG_QUERY_SERVER_BUCK_DATA	0x041B
CMSG_QUERY_TIME	0x01CE
CMSG_QUERY_VEHICLE_STATUS	0x04A5
CMSG_QUESTGIVER_ACCEPT_QUEST	0x0189
CMSG_QUESTGIVER_CANCEL	0x0190
CMSG_QUESTGIVER_CHOOSE_REWARD	0x018E
CMSG_QUESTGIVER_COMPLETE_QUEST	0x018A
CMSG_QUESTGIVER_HELLO	0x0184
CMSG_QUESTGIVER_QUERY_QUEST	0x0186
CMSG_QUESTGIVER_QUEST_AUTOLAUNCH	0x0187
CMSG_QUESTGIVER_REQUEST_REWARD	0x018C
CMSG_QUESTGIVER_STATUS_MULTIPLE_QUERY	0x6305
CMSG_QUESTGIVER_STATUS_QUERY	0x0182
CMSG_QUESTLOG_REMOVE_QUEST	0x0194
CMSG_QUESTLOG_SWAP_QUEST	0x0193
CMSG_QUEST_CONFIRM_ACCEPT	0x019B
CMSG_QUEST_POI_QUERY	0x01E3
CMSG_QUEST_QUERY	0x005C
CMSG_READY_FOR_ACCOUNT_DATA_TIMES	0x2B16
CMSG_READ_ITEM	0x00AD
CMSG_REALM_SPLIT	0x2906
CMSG_RECHARGE	0x000F
CMSG_RECLAIM_CORPSE	0x01D2
CMSG_REDIRECTION_AUTH_PROOF	0x0512
CMSG_REDIRECTION_FAILED	0x050E
CMSG_REFER_A_FRIEND	0x040E
CMSG_REMOVE_GLYPH	0x048A
CMSG_REPAIR_ITEM	0x02A8
CMSG_REPOP_REQUEST	0x015A
CMSG_REPORT_PVP_AFK	0x03E4
CMSG_REQUEST_ACCOUNT_DATA	0x6505
CMSG_REQUEST_PARTY_MEMBER_STATS	0x027F
CMSG_REQUEST_PET_INFO	0x0279
CMSG_REQUEST_RAID_INFO	0x02CD
CMSG_REQUEST_VEHICLE_EXIT	0x0476
CMSG_REQUEST_VEHICLE_NEXT_SEAT	0x0478
CMSG_REQUEST_VEHICLE_PREV_SEAT	0x0477
CMSG_REQUEST_VEHICLE_SWITCH_SEAT	0x0479
CMSG_RESET_FACTION_CHEAT	0x0281
CMSG_RESET_INSTANCES	0x031D
CMSG_RESURRECT_RESPONSE	0x015C
CMSG_RUN_SCRIPT	0x02B5
CMSG_SAVE_PLAYER	0x0153
CMSG_SEARCH_LFG_JOIN	0x035E
CMSG_SEARCH_LFG_LEAVE	0x035F
CMSG_SELF_RES	0x02B3
CMSG_SELL_ITEM	0x01A0
CMSG_SEND_COMBAT_TRIGGER	0x0394
CMSG_SEND_EVENT	0x002D
CMSG_SEND_GENERAL_TRIGGER	0x0393
CMSG_SEND_LOCAL_EVENT	0x0392
CMSG_SEND_MAIL	0x0238
CMSG_SERVERINFO	0x04F4
CMSG_SERVERTIME	0x0000
CMSG_SERVER_BROADCAST	0x02B2
CMSG_SERVER_COMMAND	0x0227
CMSG_SERVER_INFO_QUERY	0x04A0
CMSG_SETDEATHBINDPOINT	0x0154
CMSG_SET_ACTIONBAR_TOGGLES	0x02BF
CMSG_SET_ACTION_BUTTON	0x0128
CMSG_SET_ACTIVE_MOVER	0x026A
CMSG_SET_ACTIVE_TALENT_GROUP_OBSOLETE	0x04C3
CMSG_SET_ACTIVE_VOICE_CHANNEL	0x03D3
CMSG_SET_ALLOW_LOW_LEVEL_RAID1	0x0508
CMSG_SET_ALLOW_LOW_LEVEL_RAID2	0x0509
CMSG_SET_AMMO	0x0268
CMSG_SET_ARENA_MEMBER_SEASON_GAMES	0x04B1
CMSG_SET_ARENA_MEMBER_WEEKLY_GAMES	0x04B0
CMSG_SET_ARENA_TEAM_RATING_BY_INDEX	0x04AD
CMSG_SET_ARENA_TEAM_SEASON_GAMES	0x04AF
CMSG_SET_ARENA_TEAM_WEEKLY_GAMES	0x04AE
CMSG_SET_BREATH	0x04A4
CMSG_SET_CHANNEL_WATCH	0x03EF
CMSG_SET_CHARACTER_MODEL	0x050C
CMSG_SET_CONTACT_NOTES	0x6135
CMSG_SET_CRITERIA_CHEAT	0x0470
CMSG_SET_DURABILITY_CHEAT	0x0287
CMSG_SET_EXPLORATION	0x02BE
CMSG_SET_EXPLORATION_ALL	0x031B
CMSG_SET_FACTION_ATWAR	0x0125
CMSG_SET_FACTION_CHEAT	0x0126
CMSG_SET_FACTION_INACTIVE	0x0317
CMSG_SET_GLYPH	0x0467
CMSG_SET_GLYPH_SLOT	0x0466
CMSG_SET_GRANTABLE_LEVELS	0x040C
CMSG_SET_GUILD_BANK_TEXT	0x040B
CMSG_SET_LFG_COMMENT	0x0366
CMSG_SET_PAID_SERVICE_CHEAT	0x04DD
CMSG_SET_PLAYER_DECLINED_NAMES	0x0419
CMSG_SET_PVP_RANK_CHEAT	0x0288
CMSG_SET_PVP_TITLE	0x028B
CMSG_SET_RUNE_COOLDOWN	0x0459
CMSG_SET_RUNE_COUNT	0x0458
CMSG_SET_SAVED_INSTANCE_EXTEND	0x0292
CMSG_SET_SELECTION	0x013D
CMSG_SET_SHEATHED	0x01E0
CMSG_SET_SKILL_CHEAT	0x01D8
CMSG_SET_STAT_CHEAT	0x021D
CMSG_SET_TAXI_BENCHMARK_MODE	0x0389
CMSG_SET_TITLE	0x0374
CMSG_SET_TITLE_SUFFIX	0x03F7
CMSG_SET_TRADE_GOLD	0x011F
CMSG_SET_TRADE_ITEM	0x011D
CMSG_SET_VEHICLE_REC_ID_ACK	0x0240
